algorithm_name,env_n,size,best_solution,H,states,time
random,24,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,12758,0.05577691000053164
random,25,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,14851,0.06636941699980525
random,26,8,"[2, 6, 1, 7, 5, 3, 6, 4]",1,50001,0.22599898099997517
random,27,8,"[7, 2, 2, 5, 1, 4, 0, 3]",1,50001,0.22261243899993133
random,28,8,"[0, 2, 5, 3, 1, 7, 4, 6]",1,50001,0.2210833499993896
random,29,8,"[2, 4, 6, 1, 3, 5, 0, 4]",1,50001,0.2306741279999187
GA,0,10,"[2, 5, 9, 1, 8, 4, 7, 3, 0, 6]",1,3041,0.01292973100044037
GA,1,10,"[7, 3, 1, 8, 4, 0, 9, 6, 2, 5]",1,395,0.00244368099993153
GA,2,10,"[2, 5, 3, 6, 0, 8, 1, 4, 7, 9]",1,1473,0.006368711000504845
GA,3,10,"[5, 2, 6, 1, 3, 8, 0, 4, 9, 7]",2,199,0.0012274050004634773
GA,4,10,"[0, 4, 8, 5, 3, 1, 7, 9, 6, 2]",1,591,0.0028871220001747133
GA,5,10,"[9, 8, 3, 7, 0, 2, 5, 1, 6, 4]",1,9705,0.04082946000016818
GA,6,10,"[7, 2, 8, 1, 4, 0, 9, 6, 3, 5]",1,18525,0.08207433100051276
GA,7,10,"[3, 9, 2, 4, 8, 0, 5, 6, 1, 7]",1,493,0.002261595000163652
GA,8,10,"[1, 5, 9, 6, 4, 2, 8, 3, 7, 0]",1,6961,0.030905118999726255
GA,9,10,"[7, 3, 1, 9, 5, 0, 4, 6, 8, 2]",1,3433,0.015712983999947028
GA,10,10,"[4, 7, 1, 3, 6, 8, 0, 5, 9, 2]",1,90751,0.3827288109996516
GA,11,10,"[8, 3, 7, 4, 2, 0, 9, 6, 5, 1]",1,15291,0.07944133399996645
GA,12,10,"[5, 1, 6, 0, 3, 8, 7, 9, 4, 2]",1,1571,0.006842783000138297
GA,13,10,"[3, 0, 9, 6, 4, 8, 2, 1, 5, 7]",7,100001,0.4270315829999163
GA,14,10,"[0, 6, 3, 5, 7, 9, 4, 2, 1, 8]",1,493,0.002180077000048186
GA,15,10,"[6, 4, 2, 0, 5, 8, 1, 9, 7, 3]",1,689,0.0030742090002604527
GA,16,10,"[2, 5, 8, 1, 4, 6, 3, 0, 7, 9]",1,2355,0.01344072000028973
GA,17,10,"[2, 8, 1, 4, 6, 0, 9, 7, 5, 3]",1,3727,0.01869100400017487
GA,18,10,"[3, 1, 8, 4, 9, 7, 0, 2, 6, 5]",1,885,0.0040902279997681035
GA,19,10,"[8, 2, 5, 9, 1, 4, 0, 7, 3, 6]",1,7549,0.037145082999813894
GA,20,10,"[2, 9, 7, 3, 0, 6, 4, 1, 5, 8]",1,34205,0.14439366700025857
GA,21,10,"[7, 0, 2, 5, 1, 6, 9, 3, 8, 4]",1,4021,0.01824467300048127
GA,22,10,"[3, 6, 0, 9, 2, 4, 7, 1, 8, 5]",1,787,0.0036724960000356077
GA,23,10,"[6, 3, 7, 2, 4, 8, 0, 5, 9, 1]",1,787,0.00442081999972288
GA,24,10,"[8, 5, 2, 4, 0, 7, 9, 6, 3, 1]",1,493,0.002655765999406867
GA,25,10,"[3, 7, 1, 5, 9, 0, 6, 2, 8, 4]",7,100001,0.4197287110000616
GA,26,10,"[9, 0, 3, 1, 7, 5, 8, 2, 4, 6]",1,25091,0.11299815799975477
