algorithm_name,env_n,size,best_solution,H,states,time
random,10,8,"[4, 0, 3, 6, 2, 5, 1, 7]",1,50001,0.25836330900347093
HC,10,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,232,0.0005692359991371632
SA,10,8,"[0, 5, 3, 1, 7, 4, 2, 0]",1,446,0.0014203669998096302
GA,10,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,297,0.001259461001609452
random,11,8,"[4, 6, 1, 2, 5, 7, 0, 3]",1,50001,0.2550618579989532
HC,11,8,"[2, 6, 3, 7, 0, 4, 5, 1]",1,290,0.0006966040018596686
SA,11,8,"[4, 0, 3, 6, 2, 7, 1, 7]",1,446,0.001367527998809237
GA,11,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,199,0.0008154899987857789
random,12,8,"[3, 1, 7, 2, 6, 6, 0, 5]",1,50001,0.253882724995492
HC,12,8,"[3, 7, 4, 2, 0, 5, 1, 6]",1,232,0.0005592960005742498
SA,12,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,420,0.001289820000238251
GA,12,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,493,0.0021435290036606602
random,13,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,38107,0.19144017699727556
HC,13,8,"[7, 2, 4, 6, 0, 5, 3, 1]",1,232,0.0005740460037486628
SA,13,8,"[5, 2, 6, 3, 7, 1, 4, 0]",1,446,0.0013817270009894855
GA,13,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,591,0.002518170003895648
random,14,8,"[3, 1, 4, 7, 0, 3, 5, 2]",1,50001,0.25403140299749793
HC,14,8,"[0, 6, 4, 2, 7, 1, 3, 5]",1,174,0.000420790005591698
SA,14,8,"[1, 3, 0, 4, 7, 5, 2, 6]",1,446,0.0013891170019633137
GA,14,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,199,0.0008164809987647459
random,15,8,"[6, 0, 5, 1, 5, 7, 2, 4]",1,50001,0.2488604150057654
HC,15,8,"[2, 2, 7, 1, 3, 5, 0, 4]",1,232,0.0005453869962366298
SA,15,8,"[4, 1, 3, 0, 7, 4, 2, 5]",1,446,0.0013664380021509714
GA,15,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,297,0.0012228799969307147
random,16,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,32965,0.16377341300540138
HC,16,8,"[6, 1, 3, 5, 0, 2, 4, 7]",1,290,0.0006844939998700283
SA,16,8,"[6, 2, 7, 5, 0, 5, 1, 4]",1,446,0.0013351580055314116
GA,16,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,297,0.0012940900051034987
